Part No.,Part description,Group number,Group name
48384PLWHI,TEE BASE,AG-00026,Lower Level - Moulding
48385PLCHA,TEE COVER CHA SUB CON,AG-00026,Lower Level - Moulding
48385PLWHI,TEE COVER,AG-00026,Lower Level - Moulding
48386PLWHI,TEE BRIDGE,AG-00026,Lower Level - Moulding
48387PLCHA,SOCKET SPACER CHA,AG-00026,Lower Level - Moulding
48387PLWHI,SOCKET SPACER,AG-00026,Lower Level - Moulding
48388PLCHA,YT2/4 ADAPTOR CHA SUB CON,AG-00026,Lower Level - Moulding
48388PLWHI,YT2/4 ADAPTOR,AG-00026,Lower Level - Moulding
48391PLWHI,BOX 1G,AG-00016,OBSOLETE
48392PLCHA,BOX 2G CHA,AG-00026,Lower Level - Moulding
48392PLWHI,BOX 2G,AG-00026,Lower Level - Moulding
48393PLWHI,BOX 3G - PRESS,AG-00026,Lower Level - Moulding
48395PLWHI,TRUNKING BRIDGE,AG-00026,Lower Level - Moulding
48469SS,SCREW KIT ( 4 SCREWS IN BAG ),AG-00053,Component
48475SS,SCREW KIT (20 SCREWS IN BAG),AG-00016,OBSOLETE
48741SS,SCREW KIT  4 X 40973PS IN BAG,AG-00053,Component
49273PL,3G BOX 35MM DEEP,AG-00026,Lower Level - Moulding
49324PLBEG,49324PLBEG,AG-00016,OBSOLETE
49324PLGRY,49324PLGRY,AG-00016,OBSOLETE
49324PLLGY,49324PLLGY,AG-00016,OBSOLETE
49325PLBEG,49325PLBEG,AG-00016,OBSOLETE
49325PLGRY,49325PLGRY,AG-00016,OBSOLETE
49325PLLGY,49325PLLGY,AG-00016,OBSOLETE
49349PLBLK01,PCE - BLADE LH BLACK,AG-00056,PCE Phase Out
49349PLBLK02,PCE - BLADE RH BLACK,AG-00056,PCE Phase Out
49349PLRED01,BLADE LH RED,AG-00056,PCE Phase Out
49349PLRED02,BLADE RH RED,AG-00056,PCE Phase Out
49383PLRED,SLIDING BRACKET RED,AG-00056,PCE Phase Out
49392PLGRY,LOAD PLATE INSULATOR LARGE GRY,AG-00056,PCE Phase Out
49392PLLGY,LOAD PLATE INSULATOR LARGE LGY,AG-00016,OBSOLETE
49403PLGRY,FRAME 265X340 GRY,AG-00056,PCE Phase Out
49404PLGRY,340X265 LID MOULDING GRY,AG-00056,PCE Phase Out
49430PLGRY,PCE - FRAME 4 COMP GRY,AG-00056,PCE Phase Out
49485PLBLU,PART M SOCKET SPACER BLU,AG-00026,Lower Level - Moulding
49485PLCHA,PART M SOCKET SPACER CHA,AG-00016,OBSOLETE
49486PLBLU,PART M FLANGE BLU,AG-00026,Lower Level - Moulding
49486PLCHA,PART M FLANGE CHA,AG-00016,OBSOLETE
49660PLCHA,INTERNAL CORNER INNER CHA,AG-00026,Lower Level - Moulding
49660PLWHI,INTERNAL CORNER INNER WHI,AG-00026,Lower Level - Moulding
49661PLCHA,INTERNAL CORNER OUTER CHA,AG-00026,Lower Level - Moulding
49661PLWHI,INTERNAL CORNER OUTER WHI,AG-00026,Lower Level - Moulding
49662PLCHA,EXTERNAL CORNER OUTER CHA,AG-00026,Lower Level - Moulding
49662PLWHI,EXTERNAL CORNER OUTER WHI,AG-00026,Lower Level - Moulding
49663PLCHA,EXTERNAL CORNER INNER CHA,AG-00026,Lower Level - Moulding
49663PLWHI,EXTERNAL CORNER INNER WHI,AG-00026,Lower Level - Moulding
49664PLCHA,END CAP - RH CHA SUB CON,AG-00026,Lower Level - Moulding
49664PLWHI,END CAP - RH WHI,AG-00026,Lower Level - Moulding
49665PLCHA,END CAP - LH CHA SUB CON,AG-00026,Lower Level - Moulding
49665PLWHI,END CAP - LH WHI,AG-00026,Lower Level - Moulding
49666PLCHA,COUPLER CHA,AG-00026,Lower Level - Moulding
49666PLWHI,COUPLER WHI,AG-00026,Lower Level - Moulding
49667PLCHA,FLAT ANGLE COVER UP CHA,AG-00026,Lower Level - Moulding
49667PLWHI,FLAT ANGLE COVER UP WHI,AG-00026,Lower Level - Moulding
49668PLCHA,FLAT TEE COVER CHA SUB CON,AG-00026,Lower Level - Moulding
49668PLWHI,FLAT TEE COVER WHI,AG-00026,Lower Level - Moulding
4D167,110MM 15° BEND OSMA 4SD167 PLASTDRAIN 4P06A SAP CODE 3036417,AG-00014,Finished Goods - Moulding
4D168,OsmaDrain Bend 11.25° BN 110 SN8 S/S,AG-00014,Finished Goods - Moulding
4D567,3036420 OSMADRAIN BEND 15 DEGREE BN 110 SN8 D/S,AG-00014,Finished Goods - Moulding
4D568,OsmaDrain Bend 11.25° BN 110 SN8 D/S,AG-00014,Finished Goods - Moulding
4W001006,3000x950 ispm15-4 Way,AG-00049,Packaging
4W001734,600 x 800 2 leg long euro 6 pallet,AG-00012,Consumable
50044007-001,ANTIBAC STRAIGHT COVER 47702PL WHI,AG-00041,Lower Level - Fabrication
50044008-001,ANTIBAC SQUARE COVER 48165PL WHI,AG-00042,Lower Level - Extrusion
50044009-001,ANTIBAC CURVED COVER 48373PL WHI,AG-00041,Lower Level - Fabrication
50044010-001,INT CORNER INNER ANTIBAC 48374PLWHI,AG-00026,Lower Level - Moulding
50044011-001,INT CORNER OUTER ANTIBAC 48375PLWHI,AG-00026,Lower Level - Moulding
50044012-001,EXT CORNER OUTER ANTIBAC 48376PLWHI,AG-00026,Lower Level - Moulding
50044013-001,EXT CORNER INNER ANTIBAC 48377PLWHI,AG-00026,Lower Level - Moulding
50044014-001,END CAP ANTIBAC 48379PLWHI,AG-00026,Lower Level - Moulding
50044015-001,COUPLER ANTIBAC 48380PLWHI,AG-00026,Lower Level - Moulding
50044016-001,FLAT ANGLE COVER ANTIBAC 48383PLWHI,AG-00026,Lower Level - Moulding
50044017-001,TEE COVER ANTIBAC 48385PLWHI,AG-00026,Lower Level - Moulding
50044018-001,SOCKET SPACER ANTIBAC 48387PLWHI,AG-00026,Lower Level - Moulding
50044020-001,INT CORNER INNER ANTIBAC 49660PLWHI,AG-00026,Lower Level - Moulding
50044021-001,INT CORNER OUTER ANTIBAC 49661PLWHI,AG-00026,Lower Level - Moulding
50044022-001,EXT CORNER OUTER ANTIBAC 49662PLWHI,AG-00026,Lower Level - Moulding
50044023-001,EXT CORNER INNER ANTIBAC 49663PLWHI,AG-00026,Lower Level - Moulding
50044024-001,END CAP - RH  ANTIBAC 49664PLWHI,AG-00026,Lower Level - Moulding
50044025-001,END CAP - LH  ANTIBAC 49665PLWHI,AG-00026,Lower Level - Moulding
50044026-001,COUPLER ANTIBAC 49666PLWHI,AG-00026,Lower Level - Moulding
50044027-001,FLAT ANGLE COVER UP ANTIBAC 49667PLWHI,AG-00026,Lower Level - Moulding
50044028-001,FLAT TEE COVER ANTIBAC 49668PLWHI,AG-00026,Lower Level - Moulding
50044030-001,CAP  ANTIBAC  476809PLWHI,AG-00026,Lower Level - Moulding
50044031-001,CLIP ANTIBAC  47679PLWHI,AG-00026,Lower Level - Moulding
50044203-001,LEAFLET - PRESTIGE 3D ANTIBAC,AG-00049,Packaging
50044307-001,PART M FLANGE ANTIBAC 49486PLCHA,AG-00026,Lower Level - Moulding
50044308-001,PART M SOCKET SPACER ANTIBAC 49485PLCHA,AG-00026,Lower Level - Moulding
50045800-001,MASTERSEAL 2G LID 2 OUTLET GREY,AG-00014,Finished Goods - Moulding
50045800-002,MASTERSEAL 2G LID 2 OUTLET WHITE,AG-00014,Finished Goods - Moulding
50045800-004,MASTERSEAL 2 G LID - 2 CABLE O/LETS CLEAR,AG-00014,Finished Goods - Moulding
50046811-001,MASTERSEAL 2G LID 1 OUTLET GRY,AG-00014,Finished Goods - Moulding
50046811-002,MASTERSEAL 2G LID 1 OUTLET WHITE,AG-00014,Finished Goods - Moulding
50048614-001,UV TORCH FOR 3D ANTIBAC-PRINTED,AG-00053,Component
50048728-001,FILM CLEAR 83MM X 500M PRINT ANTIBAC,AG-00053,Component
50049427-001,BEZEL SURROUND-GRY,AG-00014,Finished Goods - Moulding
50049427-002,BEZEL SURROUND-WHI,AG-00014,Finished Goods - Moulding
50049428-001,BEZEL FRAME - GRY,AG-00014,Finished Goods - Moulding
50049428-002,BEZEL FRAME - WHI,AG-00014,Finished Goods - Moulding
50049429-001,MOUNTING FRAME -GRY,AG-00014,Finished Goods - Moulding
50049611-001,BUBBLE WRAP,AG-00012,Consumable
50050243-001,MOUNTING FRAME 2-GANG GRY,AG-00014,Finished Goods - Moulding
50050243-002,MOUNTING FRAME 2-GANG WHITE,AG-00014,Finished Goods - Moulding
50054164-001,LABEL 15MM YELLOW LABEL - ROUND CONDUIT 1,AG-00049,Packaging
50054164-004,LABEL 15MM YELLOW - ROUND 4,AG-00049,Packaging
50054165-004,LABEL 15MM RED - OVAL 4,AG-00049,Packaging
50054171-004,LABEL 15MM GREEN - CHANNEL 4,AG-00049,Packaging
50054172-001,LABEL 15MM BLUE - MINI TRUNKING 1,AG-00049,Packaging
50054172-002,LABEL 15MM BLUE - MINI TRUNKING 2,AG-00049,Packaging
50054172-004,LABEL 15MM BLUE - MINI TRUNKING 4,AG-00049,Packaging
50054173-001,LABEL25MM YELLOW - ROUND 1,AG-00049,Packaging
50054173-003,LABEL 25MM YELLOW - ROUND 3,AG-00049,Packaging
50054174-003,LABEL 25MM GREEN - CHANNEL 3,AG-00049,Packaging
50054175-002,LABEL 25MM BLUE - MINI TRUNKING 2,AG-00049,Packaging
50054175-003,LABEL 25MM BLUE - MINI TRUNKING 3,AG-00049,Packaging
50054456-001,LABEL 150X90,AG-00006,Printed Labels
50055059-001,FIXED END CLIP CRM BOX,AG-00056,PCE Phase Out
50055060-001,SLIDING END CLIP CRM BOX,AG-00056,PCE Phase Out
50055757-001,COLOUR LABEL FOR REC1210BQ,AG-00006,Printed Labels
50061484-001,RCD BRACKET,AG-00053,Component
50062701-001,LABEL BLANK 36MM X 89MM,AG-00053,Component
50062702-142,LABEL ACEL  PRINTED AC76225,AG-00006,Printed Labels
50066712-001,INTERNAL CORNER DADO OWN BRAND,AG-00026,Lower Level - Moulding
50066940-001,EXTERNAL CORNER DADO OWN BRAND,AG-00026,Lower Level - Moulding
50066965-183,LABEL ACEL PRINTED AC777700,AG-00006,Printed Labels
50066965-184,LABEL ACEL PRINTED AC777701,AG-00006,Printed Labels
50066965-185,LABEL ACEL PRINTED AC777702,AG-00006,Printed Labels
50066965-186,LABEL ACEL PRINTED AC777703,AG-00006,Printed Labels
50066965-190,LABEL ACEL PRINTED AC777707,AG-00006,Printed Labels
50066965-195,LABEL ACEL PRINTED AC777712,AG-00006,Printed Labels
50066965-196,LABEL ACEL PRINTED AC777713,AG-00006,Printed Labels
50066965-197,LABEL ACEL PRINTED AC777714,AG-00006,Printed Labels
50066965-203,LABEL ACEL PRINTED AC777720,AG-00006,Printed Labels
50067660-001,UNIVERSAL CARRIER,AG-00014,Finished Goods - Moulding
50068146-001,CONNECTOR BASKET,AG-00016,OBSOLETE
50068147-001,BLANK LID,AG-00014,Finished Goods - Moulding
50068148-001,7 WAY PLUG SHROUD,AG-00014,Finished Goods - Moulding
50068149-001,7 WAY PLUG BASE,AG-00014,Finished Goods - Moulding
50069001-001,BASE 186ASY01,AG-00014,Finished Goods - Moulding
50069001-002,BASE MOULDING CDW12 - WHITE POLYCARBONAT,AG-00014,Finished Goods - Moulding
50069002-001,CONNECTOR BASKET 186ASY02,AG-00014,Finished Goods - Moulding
50069003-001,BIG LID 186ASY03,AG-00016,OBSOLETE
50069006-001,SMALL LID 186ASY04,AG-00014,Finished Goods - Moulding
50069009-001,PLUG SHROUD - STANDARD 186ASY07-01,AG-00014,Finished Goods - Moulding
50069010-001,PLUG BASE 186ASY08,AG-00014,Finished Goods - Moulding
50069814-001,CUBE INSERT WITH LIGHT PIPE,AG-00014,Finished Goods - Moulding
50070095-001,MAIN CARRIER OWN BRAND,AG-00016,OBSOLETE
50070097-001,CURVED COVER OWN BRAND,AG-00016,OBSOLETE
50070098-001,CENTRE COVER OWN BRAND,AG-00016,OBSOLETE
50070180-001,LEAFLET NLPPTS1COMP,AG-00016,OBSOLETE
50070181-001,INK BLACK 250ML CARTRIDGE KTEC,AG-00012,Consumable
50070181-002,INK CYAN 250ML CARTRIDGE KTEC,AG-00012,Consumable
50070181-003,INK MAGENTA 250ML CARTRIDGE KTEC,AG-00012,Consumable
50070181-004,INK YELLOW 250ML CARTRIDGE KTEC,AG-00012,Consumable
50077240-001,FLANGE 75X125,AG-00041,Lower Level - Fabrication
50083157-001,NAPION MINIHEAD LIGHT PIPE,AG-00014,Finished Goods - Moulding
50083158-001,MS1500 LIGHT PIPE,AG-00014,Finished Goods - Moulding
50083223-001,FRONT COVER,AG-00014,Finished Goods - Moulding
50083224-001,BACK COVER,AG-00014,Finished Goods - Moulding
50083225-001,STRAP RETAINER,AG-00014,Finished Goods - Moulding
50083227-001,BATTERY COVER,AG-00014,Finished Goods - Moulding
50086839-001,FIXED DECORATIVE COVER,AG-00014,Finished Goods - Moulding
50086843-001,FIXED OFFICE SHROUD,AG-00014,Finished Goods - Moulding
50086844-001,FIXED MID-HIGH SHROUD,AG-00014,Finished Goods - Moulding
50086845-001,FIXED PCBA ENCLOSURE 1,AG-00014,Finished Goods - Moulding
50086846-001,FIXED PCBA ENCLOSURE 2,AG-00014,Finished Goods - Moulding
50086847-001,FIXED/TILT BACK COVER,AG-00026,Lower Level - Moulding
50086847-002,FIXED/TILT BACK COVER A,AG-00026,Lower Level - Moulding
50086847-003,FIXED/TILT BACK COVER A + B,AG-00026,Lower Level - Moulding
50086847-004,FIXED/TILT BACK COVER A + B + C,AG-00055,Finished Goods - Press Moulding
50086847-005,FIXED/TILT BACK COVER A+C,AG-00055,Finished Goods - Press Moulding
50086847-006,FIXED/TILT BACK COVER C + D,AG-00055,Finished Goods - Press Moulding
50086847-007,FIXED/TILT BACK COVER C + D + E + F,AG-00055,Finished Goods - Press Moulding
50086847-008,FIXED/TILT BACK COVER  RJ45,AG-00055,Finished Goods - Press Moulding
50086847-009,BACK COVER NEXT GEN SENSORS,AG-00055,Finished Goods - Press Moulding
50086847-010,FIXED/TILT BACK COVER C+D+F,,
50086847-011,BACK COVER NEXT GEN SENSORS,AG-00055,Finished Goods - Press Moulding
50086847-012,BACK COVER NEXT GEN SENSORS,AG-00055,Finished Goods - Press Moulding
50086847-013,BACK COVER NW VE,AG-00055,Finished Goods - Press Moulding
50086847-014,BACK COVER NW VE,AG-00055,Finished Goods - Press Moulding
50086847-015,ex 8,AG-00055,Finished Goods - Press Moulding
50086848-001,FIXED/TILT TERMINAL COVER,AG-00014,Finished Goods - Moulding
50086849-001,FIXED/TILT CLAMPS,AG-00014,Finished Goods - Moulding
50086895-001,TILT DECORATIVE COVER,AG-00014,Finished Goods - Moulding
50086896-001,SENSOR HOUSING 1,AG-00014,Finished Goods - Moulding
50086897-001,SENSOR HOUSING 2,AG-00014,Finished Goods - Moulding
50086898-001,TILT OFFICE SHROUD,AG-00014,Finished Goods - Moulding
50086899-001,TILT MID-HIGH SHROUD,AG-00014,Finished Goods - Moulding
50086900-001,TILT PCBA ENCLOSURE 1,AG-00014,Finished Goods - Moulding
50086901-001,TILT PCBA ENCLOSURE 2,AG-00014,Finished Goods - Moulding
50086902-001,BEZEL,AG-00014,Finished Goods - Moulding
50088836-001,LOCKRING,AG-00014,Finished Goods - Moulding
50089071-001,FIXING SCREWS,AG-00053,Component
50089075-001,MASK,AG-00014,Finished Goods - Moulding
50089156-001,DOCUMENT ENVELOPE A5 PLAIN,AG-00036,Miscellaneous
50090274-001,PHOTOCELL LENS,AG-00014,Finished Goods - Moulding
50090768-001,SURFACE MOUNT FITTING,AG-00014,Finished Goods - Moulding
50090771-001,SURFACE MOUNT BASE,AG-00014,Finished Goods - Moulding
50090772-001,SURFACE MOUNT TOP,AG-00014,Finished Goods - Moulding
50094726-001,OUTER GLAND WASHER,AG-00014,Finished Goods - Moulding
50094727-001,INNER GLAND WASHER,AG-00014,Finished Goods - Moulding
50954PLRED,MOUNTING PLATE FRAME RED,AG-00056,PCE Phase Out
50966PL,RCD BRACKET PRESTIGE COMPACT,AG-00053,Component
51113PLRED,PCE - MOUNTING FRAME DOUBLE RED,AG-00056,PCE Phase Out
52048PL,FLANGE 75X150,AG-00053,Component
52301PL,REPEATER BASE,AG-00016,OBSOLETE
52302PL,RECEIVER MAIN COVER,AG-00016,OBSOLETE
52303PL,REPEATER COVER,AG-00016,OBSOLETE
55020,204x60mm FLAT CHANNEL (2m),AG-00017,Finished Goods - Extrusion
55150,204x60mm FLAT CHANNEL (1.5m),AG-00017,Finished Goods - Extrusion
55500,"5"" 204X60MM RECTANG HORI BEND 011250 SPN",AG-00014,Finished Goods - Moulding
55582,204x60mm HORIZ T-PIECE (011477) SPN,AG-00014,Finished Goods - Moulding
55700,"LOW/P 5"" ROUND TO REC ADAPT (011260) SPN",AG-00014,Finished Goods - Moulding
56461EMBLK,CABLE ENTRY - PVC CABLE,AG-00014,Finished Goods - Moulding
56461EMWHI,CABLE ENTRY - PVC CABLE,AG-00014,Finished Goods - Moulding
56462EMBLK,CONDUIT ENTRY PLAIN 20MM,AG-00014,Finished Goods - Moulding
7002294,PACK LABEL 101.6MM X 60.325MM,AG-00012,Consumable
7005434,AJ Cover Box,AG-00012,Consumable
711DOUBLE,"CARTON, 325 X 180 X 150MM Backbox",AG-00049,Packaging
711SINGLE,CARTON 325 X 180 X 90MM BACKBOXES,AG-00049,Packaging
88100EM,DUCTING 90X35MM,AG-00041,Lower Level - Fabrication
88100EM3,DUCTING 90X35MM 3M,AG-00042,Lower Level - Extrusion
88105EM,88105 IN BULK,AG-00016,OBSOLETE
88106EM,88106 IN BULK BLACK,AG-00026,Lower Level - Moulding
88150EM,PCE - 88150 IN BULK,AG-00056,PCE Phase Out
88200EM,60X25MM UNDERFLOOR DUCTING,AG-00041,Lower Level - Fabrication
88200EM3,DUCTING 60X25MM 3M,AG-00042,Lower Level - Extrusion
88206EM,88206 IN BULK,AG-00026,Lower Level - Moulding
9T919B,OsRDL PVCU Gutter Support Brckt BK 113,AG-00014,Finished Goods - Moulding
9T919N,OsRDL PVCU Gutter Support Brckt BN 113,AG-00014,Finished Goods - Moulding
A-02681,EOAT Spend,AG-00043,Capex
A-02705,extrusion tooling,AG-00043,Capex
A-02789,Training,AG-00054,Training
A081,AB9-01780 MERCURY GREY,AG-00002,Raw Material
A103,PB1325 VIOLET TONER,AG-00002,Raw Material
A104,PB110 DOUBLE STRENGTH BLUE TONER,AG-00002,Raw Material
A114,WHT MASTERBATCH UR0500X,AG-00002,Raw Material
A115,BLK MASTERBATCH URA130X,AG-00002,Raw Material
A139,MID GREY Masterbatch,AG-00056,PCE Phase Out
A143,HCM 14495P BEIGE,AG-00002,Raw Material
A144,PIGMENT RED UN3850,AG-00056,PCE Phase Out
ALTECH NXTPP-HA,ALTECH NXT 00-H A 2035/450.02 BK00002-00,AG-00002,Raw Material
AR31-020465BLK,Black Hanger Accessory 16116G,AG-00014,Finished Goods - Moulding
AR31-021016BEI,Beige Hanger Accessory 16505G,AG-00014,Finished Goods - Moulding
AR32-020105BLK,Black Hanger Accessory (Bagged) 14820G,AG-00014,Finished Goods - Moulding
AR32-021008BEI,Beige Hanger Accessory 16506G,AG-00014,Finished Goods - Moulding
AR32-F30-BLK,Black Hanger Accessory 7008G (Boxed),AG-00014,Finished Goods - Moulding
AT981381,P/TRACK SOCKET 63A GREY,AG-00056,PCE Phase Out
AT981382,P/TRACK SOCKET 63A RED,AG-00056,PCE Phase Out
AT981383,P/TRACK SOCKET 63A GREEN,AG-00056,PCE Phase Out
AT981384,P/TRACK SOCKET SHUTTER,AG-00056,PCE Phase Out
AT981386MK,T/OFF BASE 16MM GRY MK,AG-00056,PCE Phase Out
AT981387MK,T/OFF BASE 16MM RED MK,AG-00056,PCE Phase Out
AT981388MK,T/OFF BASE 16MM GRN MK,AG-00056,PCE Phase Out
AT981389MK,T/OFF BASE 20MM GRY MK,AG-00056,PCE Phase Out
AT981390MK,T/OFF BASE MDG 20MM RED MK,AG-00056,PCE Phase Out
AT981391MK,T/OFF BASE MDG 20MM GREEN MK,AG-00056,PCE Phase Out
AT981393MK,T/OFF LID MDG 16MM GREY MK,AG-00056,PCE Phase Out
AT981394MK,PCE - T/OFF LID MDG 16MM RED MK,AG-00056,PCE Phase Out
AT981395MK,T/OFF LID MDG 16MM GREEN MK,AG-00056,PCE Phase Out
AT981396,TAP-OFF CABLE CLAMP,AG-00056,PCE Phase Out
AT981398MK,T/OFF LID MDG 20MM GREY MK,AG-00056,PCE Phase Out
AT981399MK,PCE - T/OFF LID MDG 20MM RED MK,AG-00056,PCE Phase Out
AT981400MK,T/OFF LID MDG 20MM GREEN MK,AG-00056,PCE Phase Out
AT981413,P/TRACK LH END COVER,AG-00056,PCE Phase Out
AT981415,P/TRACK RH END COVER,AG-00056,PCE Phase Out
AT981428,P/TRACK LH END 63A,AG-00056,PCE Phase Out
AT981429,P/TRACK LH END 40A,AG-00056,PCE Phase Out
AT981431,P/TRACK RH END 63A,AG-00056,PCE Phase Out
AT981432,P/TRACK RH END 40A,AG-00056,PCE Phase Out
AT981438,P/TRACK 63A CONDUCTOR SHIELD,AG-00056,PCE Phase Out
AT981448MK,PCE - T/OFF BASE 16MM BLK MK,AG-00056,PCE Phase Out
AT981449MK,T/OFF BASE 20MM BLK MK,AG-00056,PCE Phase Out
AT981450MK,T/OFF LID MDG 16MM BLK MK,AG-00056,PCE Phase Out
AT981451MK,T/OFF LID MDG 20MM BLACK MK,AG-00056,PCE Phase Out
AT982457,AT982457,AG-00016,OBSOLETE
AT982491,PCE - INTERACT PLASTIC DUST COVER,AG-00056,PCE Phase Out
AT982717,PCE - P/TRACK SOCKET 63A,AG-00056,PCE Phase Out
AU030,wax ribbon 30mm x 600m,AG-00012,Consumable
AU055,wax ribbon 55mm x 600m,AG-00012,Consumable
AU080,wax ribbon 80mm x 600m,AG-00012,Consumable
AX20HGWH,20MM ROUND HG CONDUIT WHITE,AG-00017,Finished Goods - Extrusion
AX20WH,20MM ROUND LG CONDUIT WHITE,AG-00017,Finished Goods - Extrusion
AX25HGWH,25MM ROUND HG CONDUIT WHITE,AG-00017,Finished Goods - Extrusion
AX25WH,25MM ROUND LG CONDUIT WHITE,AG-00017,Finished Goods - Extrusion
AX25X16SAWH,25MMX16MM SELF FIX TRUNKING WHITE,AG-00017,Finished Goods - Extrusion
AX25X16WH,25X16MM WHITE TRUNKING,AG-00017,Finished Goods - Extrusion
AXOVL22WH,26 x 13mm Oval White Conduit,AG-00017,Finished Goods - Extrusion
AXSB1WH,Single Back box 32mm,AG-00014,Finished Goods - Moulding
AXSB2WH,Double Back Box 32mm,AG-00014,Finished Goods - Moulding
AXULTRAOVL24WH,24.5mm x 16mm Oval White Conduit,AG-00014,Finished Goods - Moulding
Bag1,"QEP 15""x20"" Polybag",AG-00049,Packaging
Bag2,"QEP 12""x15"" Polybag",AG-00049,Packaging
Bag3,"QEP 12""x18"" Polybag",AG-00049,Packaging
Bag4,"QEP 10""x12"" Polybag",AG-00049,Packaging
BET2WH,25X16MM LGTH WHITE MiniTrunking,AG-00017,Finished Goods - Extrusion
BGQEP,MNF555 depth gauge back black,AG-00026,Lower Level - Moulding
BJP700,Bargain Bin HD Solid Wall Fixing - Dark Brown,AG-00014,Finished Goods - Moulding
BJP700DC,BJP700 Heavy Duty Multi-Fix Display Carton,AG-00049,Packaging
BJP700LL,QEP - Bargain Bin HD Solid Wall Fixing - Dark Brown,AG-00026,Lower Level - Moulding
BJP700Wrap,BJP700 Heavy Duty Multi-Fix Concrete & Brick Wrap,AG-00049,Packaging
BMB2WHI,20MM BELLMOUTH BUSH,AG-00057,Phase Out HNY
BOX2,432X318X267mm 150K/150T BC 0201,AG-00049,Packaging
BP539,Brown Supergrip HD Fixings,AG-00014,Finished Goods - Moulding
BT-A700G,Barcode handy terminal,AG-00043,Capex
BT-A700G Package,"Barcode handy terminal, battery, USB/LAN communication cradle, PSU & maintenance contract for 1 year",AG-00043,Capex
BulkBoxQEP,Stock Box 430X240X365mm,AG-00049,Packaging
C275MK,CARTON 225X50X105 PRINTED MK,AG-00049,Packaging
C350,CARTON 476 x 207 x 92mm UNPRINTED,AG-00049,Packaging
C600,CARTON 610X420X300 UNPRINTED,AG-00049,Packaging
C610,CARTON 420X305X300 UNPRINTED,AG-00049,Packaging
C620,CARTON 492X197X216 PLAIN,AG-00049,Packaging
C630,CARTON 480X315X195 PLAIN,AG-00049,Packaging
C765-15NA,Braskem PP C765-15NA,AG-00002,Raw Material
CARTON PPOLES2,CARTON,AG-00049,Packaging
CARTON PPOSTS2,CARTON,AG-00049,Packaging
CC1,Cut Case 1,AG-00049,Packaging
CC2,Cut Case 2,AG-00049,Packaging
CC4,Cut Case 4,AG-00049,Packaging
CCS-CAP-4D167,4D167 CCS CAP,AG-00053,Component
CCS-CAP-4D567,4D567 CCS CAP,AG-00053,Component
CF104,Regular Duty Plasterboard Fixing,AG-00014,Finished Goods - Moulding
CF111,Regular Duty Plasterboard Fixing,AG-00014,Finished Goods - Moulding
ChoppedMFA500,FOC Chopped Mouldings Grey,AG-00053,Component
CL42967E,CL42967E,AG-00016,OBSOLETE
CL980200,MOUNTING PLATE FRAME RED,AG-00016,OBSOLETE
CLINGFILMMC,CLINGFILM AUTO-WRAP M/C,AG-00012,Consumable
CLINGFILMMCTOP,CLINGFILM M/C TOP (200 SHEETS/ ROLL,AG-00012,Consumable
CLT100LIDEMWHI3,100MM CABLE TRUNK LID 3M,AG-00042,Lower Level - Extrusion
CLT100LIDWHI,100MM CABLE TRUNKING LID,AG-00016,OBSOLETE
CLT150LIDWHI,CLT 7/8/9 LID - 150MM,AG-00057,Phase Out HNY
CLT1EMWHI3,50X50MM CABLE TRUNK 3M,AG-00042,Lower Level - Extrusion
CLT1WHI,50X50MM CABLE TRUNKING,AG-00057,Phase Out HNY
CLT2EMWHI,75 X 50MM CABLE TRUNKING,AG-00041,Lower Level - Fabrication
CLT2WHI,75X50MM CABLE TRUNKING,AG-00057,Phase Out HNY
CLT3EMWHI,75 X 75MM CABLE TRUNKING,AG-00041,Lower Level - Fabrication
CLT3WHI,75X75MM CABLE TRUNKING,AG-00057,Phase Out HNY
CLT4EMWHI,100X50MM CABLE TRUNKING,AG-00042,Lower Level - Extrusion
CLT4EMWHI3,100X50MM CABLE TRUNK 3M,AG-00042,Lower Level - Extrusion
CLT4WHI,100X50MM CABLE TRUNKING,AG-00057,Phase Out HNY
CLT50LIDEMWHI3,50X50 CABLE TRUNK LID 3M,AG-00042,Lower Level - Extrusion
CLT50LIDWHI,50MM CABLE TRUNKING LID,AG-00057,Phase Out HNY
CLT6EMWHI,100X100MM CABLE TRUNKING,AG-00041,Lower Level - Fabrication
CLT6EMWHI3,100X100MM CABLE TRUNK 3M,AG-00042,Lower Level - Extrusion
CLT6WHI,100X100MM CABLE TRUNKING,AG-00057,Phase Out HNY
CLT75LIDEMWHI3,150X75MM CABLE TRUNK 3M,AG-00042,Lower Level - Extrusion
CLT7EMWHI3,150X75MM CABLE TRUNK 3M,AG-00042,Lower Level - Extrusion
CLT8EMWHI,150X100MM CABLE TRUNKING,AG-00041,Lower Level - Fabrication
CLT8WHI,150X100MM CABLE TRUNKING,AG-00057,Phase Out HNY
CLT9EMWHI,150X150MM CABLE TRUNKING,AG-00041,Lower Level - Fabrication
CLT9WHI,150X150MM CABLE TRUNKING,AG-00057,Phase Out HNY
CMSAMPLEPACK10,COMPACT C/W ENDCAPS & 2G FRAME,AG-00020,Finished Goods - Fabrication
CMSAMPLEPACK14,3D CHARCOAL SAMPLE PACK,AG-00020,Finished Goods - Fabrication
CMSAMPLEPACK15,PRESTIGE 3D ANTIBAC SAMPLE PACK,AG-00020,Finished Goods - Fabrication
